基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="000AEFGLIU",天利(盧森堡)-環球資產配置基金I(美元),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS IU-USD,USD,="LU0096360051",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AEFGLIUE",天利(盧森堡)-環球資產配置基金I(歐元),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS IU-EUR,EUR,="LU0757429831",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFEUA",天利(盧森堡)-美國選擇基金(美元),Threadneedle (Lux)-AMERICAN SELECT-CLASS AU-USD,USD,="LU0112528004",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFEUAE",天利(盧森堡)-美國選擇基金(歐元),Threadneedle (Lux)-AMERICAN SELECT-CLASS AU-EUR,EUR,="LU0757425763",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFEUAEH",天利(盧森堡)-美國選擇基金(歐元避險),Threadneedle (Lux)-AMERICAN SELECT-CLASS AEH-EUR,EUR,="LU0198732421",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFIEH",天利(盧森堡)-美國選擇基金I(歐元避險),Threadneedle(Lux)-AMERICAN SELECT-CLASS IEH,EUR,="LU0329575525",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFUIU",天利(盧森堡)-美國選擇基金I(美元),Threadneedle(Lux)-AMERICAN SELECT-CLASS IU,USD,="LU0112529820",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFUIUE",天利(盧森堡)-美國選擇基金I(歐元),Threadneedle(Lux)-AMERICAN SELECT-CLASS IU-EUR,EUR,="LU0810610682",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGEMIEH",天利(盧森堡)-新興市場公司債券基金I(歐元避險),Threadneedle(Lux)-EMERGING MARKET CORPORATE BONDS-CLASS IEH-EUR,EUR,="LU0248373861",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGLEE",天利(盧森堡)-全球能源股票基金(美元),Threadneedle (Lux)- GLOBAL ENERGY EQUITIES -CLASS AU - USD,USD,="LU0143868585",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGLEEE",天利(盧森堡)-全球能源股票基金(歐元),Threadneedle (Lux)- GLOBAL ENERGY EQUITIES -CLASS AU - EUR,EUR,="LU0757430680",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGLEEEH",天利(盧森堡)-全球能源股票基金(歐元避險),Threadneedle (Lux)- GLOBAL ENERGY EQUITIES -CLASS AEH - EUR,EUR,="LU0198729633",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBA",天利(盧森堡)-美國高收益債券基金(美元),Threadneedle(Lux)-US HIGH YIELD BOND-AU-USD,USD,="LU0180519315",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBAE",天利(盧森堡)-美國高收益債券基金(歐元),Threadneedle(Lux)-US HIGH YIELD BOND-AU-EUR,EUR,="LU0757433510",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBAEH",天利(盧森堡)-美國高收益債券基金(歐元避險),Threadneedle(Lux)-US HIGH YIELD BOND-AEH-EUR,EUR,="LU0180519406",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
